epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2839,0.9884,3.02975,1.61967,0.3125,0.47509,0.24491,0.10998,1.62757,2.41386,2.52146,0.000253982,0.000253982,0.000253982
2,83.4059,0.91323,1.86571,1.52344,0.43371,0.57765,0.3449,0.22188,1.20267,1.77923,2.11824,0.000500211,0.000500211,0.000500211
3,122.486,0.91416,1.71452,1.51794,0.27885,0.616,0.36863,0.2324,1.30192,1.71037,2.56909,0.000736289,0.000736289,0.000736289
4,161.133,0.90266,1.69409,1.50612,0.61783,0.3256,0.31958,0.19451,1.18023,2.15408,2.15925,0.000723321,0.000723321,0.000723321
5,199.199,0.91637,1.65603,1.50712,0.33441,0.54925,0.33466,0.20091,1.25413,2.3375,2.73439,0.000708095,0.000708095,0.000708095
6,237.203,0.86346,1.59964,1.45854,0.4592,0.58819,0.44159,0.28705,1.15714,1.54456,2.24224,0.000692869,0.000692869,0.000692869
7,275.545,0.86988,1.55371,1.47014,0.36395,0.49688,0.34946,0.19708,1.2521,1.83245,2.36401,0.000677643,0.000677643,0.000677643
8,313.559,0.8862,1.55424,1.48456,0.36926,0.49948,0.36437,0.21736,1.26491,1.73423,2.54973,0.000662417,0.000662417,0.000662417
9,351.737,0.8501,1.51182,1.46191,0.55697,0.57538,0.506,0.33663,1.11746,1.43633,2.03899,0.00064719,0.00064719,0.00064719
10,389.823,0.83835,1.47948,1.4432,0.45507,0.61007,0.50019,0.34122,1.08719,1.4907,1.95233,0.000631964,0.000631964,0.000631964
11,428.145,0.81799,1.46237,1.42401,0.46645,0.71314,0.54959,0.37077,1.08973,1.22969,1.97713,0.000616738,0.000616738,0.000616738
12,466.511,0.83547,1.46008,1.45524,0.45697,0.64303,0.5532,0.36613,1.11257,1.21506,2.14235,0.000601512,0.000601512,0.000601512
13,504.497,0.81649,1.44807,1.43674,0.49339,0.70682,0.57512,0.37539,1.13479,1.2318,1.98234,0.000586286,0.000586286,0.000586286
14,542.27,0.80779,1.40074,1.42422,0.44676,0.68797,0.56323,0.37883,1.06187,1.23573,1.92384,0.000571059,0.000571059,0.000571059
15,580.002,0.82366,1.4282,1.43466,0.41835,0.65771,0.49473,0.32086,1.1499,1.47117,2.20192,0.000555833,0.000555833,0.000555833
16,617.99,0.79903,1.38002,1.41636,0.4401,0.70016,0.54747,0.37568,1.08833,1.21118,1.91771,0.000540607,0.000540607,0.000540607
17,656.113,0.7885,1.37485,1.40845,0.43534,0.63308,0.50269,0.33305,1.12825,1.36714,2.06464,0.000525381,0.000525381,0.000525381
18,693.994,0.79753,1.39555,1.41547,0.50419,0.71358,0.597,0.39838,1.11648,1.1352,2.12272,0.000510155,0.000510155,0.000510155
19,732.173,0.78233,1.34795,1.39532,0.42361,0.66664,0.52953,0.3646,1.11284,1.31042,1.96034,0.000494928,0.000494928,0.000494928
20,770.643,0.79088,1.34905,1.41566,0.54837,0.70438,0.61853,0.41921,1.08302,1.10874,1.93829,0.000479702,0.000479702,0.000479702
21,808.876,0.76739,1.35417,1.38792,0.45183,0.75834,0.5748,0.39367,1.09024,1.1694,2.04071,0.000464476,0.000464476,0.000464476
22,846.965,0.77121,1.33015,1.39791,0.52761,0.63362,0.58075,0.39628,1.13783,1.25969,2.00908,0.00044925,0.00044925,0.00044925
23,885.278,0.75565,1.28131,1.38749,0.49034,0.69289,0.57558,0.39926,1.07647,1.16121,1.87109,0.000434024,0.000434024,0.000434024
24,923.959,0.77065,1.27882,1.40185,0.47984,0.74582,0.60281,0.40653,1.04161,1.11956,1.9506,0.000418797,0.000418797,0.000418797
25,962.249,0.77396,1.26885,1.39612,0.5252,0.72855,0.61724,0.43165,1.05698,1.11713,1.88682,0.000403571,0.000403571,0.000403571
26,1001.41,0.75801,1.27526,1.3855,0.54048,0.71622,0.65396,0.45706,1.02207,1.06842,1.83096,0.000388345,0.000388345,0.000388345
27,1039.89,0.74372,1.28963,1.38258,0.56968,0.67839,0.61989,0.42959,1.0482,1.07622,1.88347,0.000373119,0.000373119,0.000373119
28,1078.13,0.76633,1.26347,1.37792,0.52928,0.74229,0.64407,0.43698,1.0606,1.12979,1.92592,0.000357893,0.000357893,0.000357893
29,1116.45,0.76947,1.26071,1.38707,0.49006,0.72141,0.60675,0.41165,1.04073,1.18686,1.91205,0.000342666,0.000342666,0.000342666
30,1154.45,0.73865,1.20827,1.37078,0.56181,0.73211,0.63354,0.4361,1.06139,1.12967,1.85588,0.00032744,0.00032744,0.00032744
31,1192.28,0.72697,1.20174,1.36043,0.56444,0.72665,0.66285,0.46514,1.02248,1.07164,1.85727,0.000312214,0.000312214,0.000312214
32,1230.03,0.74437,1.20431,1.37208,0.58078,0.73561,0.64886,0.45538,1.04078,1.12202,1.82444,0.000296988,0.000296988,0.000296988
33,1267.8,0.73226,1.19397,1.35667,0.57846,0.78823,0.6774,0.47758,1.02178,0.97789,1.82172,0.000281762,0.000281762,0.000281762
34,1305.96,0.72288,1.16312,1.35591,0.53497,0.7784,0.66549,0.47377,1.02342,1.01819,1.83144,0.000266535,0.000266535,0.000266535
35,1343.19,0.72288,1.16902,1.36055,0.52299,0.79844,0.66984,0.46053,1.03073,0.96871,1.8673,0.000251309,0.000251309,0.000251309
36,1380.66,0.71503,1.14396,1.35254,0.56819,0.79446,0.69292,0.48712,1.04345,0.94289,1.82958,0.000236083,0.000236083,0.000236083
37,1418.38,0.72771,1.16376,1.35629,0.55745,0.78595,0.6672,0.47006,1.04728,0.9991,1.85404,0.000220857,0.000220857,0.000220857
38,1455.79,0.713,1.15282,1.35284,0.57961,0.78163,0.69048,0.48581,1.06521,0.97742,1.84368,0.000205631,0.000205631,0.000205631
